productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extEpicAction,extAspect,extCardType,extTraits,extCost,extPower,extHP,extArenaType,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
605356,Asajj Ventress - I Work Alone,Asajj Ventress I Work Alone,https://tcgplayer-cdn.tcgplayer.com/product/605356_200w.jpg,79,23956,https://cpt.tcgcsv.com/89S6,2025-03-14T04:10:22.677,2,Rare,001/262,"Action [Exhaust]: Deal 1 damage to a friendly unit. If you do, deal 1 damage to an enemy unit in the same arena.
<br>
<strong>Deployed Leader Unit:</strong>
<br>
Grit
<br>
<strong>Piloting</strong> Attached unit is a leader unit. It gains <strong>Grit</strong> and ""<strong>On Attack:</strong> You may deal 1 damage to a friendly unit. If you do, deal 1 damage to an enemy unit in the same arena.""","<strong>Epic Action:</strong> If you control 6 or more resources, choose one:
<br>
• Deploy this leader.
<br>
• Deploy this leader as an upgrade on a friendly Vehicle unit without a Pilot on it.",Vigilance;Villainy,Leader,Bounty Hunter;Force;Night;Pilot,6,4 (+3),6 (+4),Ground,0.01,0.24,3.99,0.12,,Normal
605376,Boba Fett - Any Methods Necessary,Boba Fett Any Methods Necessary,https://tcgplayer-cdn.tcgplayer.com/product/605376_200w.jpg,79,23956,https://cpt.tcgcsv.com/x9S6,2025-03-14T04:10:22.677,2,Special,009/262,"<strong>When you deal non-combat damage:</strong> You may exhaust this leader. If you do, deal 1 indirect damage to a player. <em>(That player assigns 1 unpreventable damage among their base and units.)</em>
<strong>Deployed Leader Unit:</strong>
<br>
<strong>Piloting</strong> Attached unit is a leader unit. 
<br>
<strong>When deployed as an upgrade:</strong> Deal up to 4 damage divided as you choose among any number of units","<strong>Epic Action:</strong> If you control 6 or more resources, choose one:
<br>
• Deploy this leader.
<br>
• Deploy this leader as an upgrade on a friendly Vehicle unit without a Pilot on it.",Aggression;Villainy,Leader,Bounty Hunter;Underworld;Pilot,6,4 (+4),7 (+4),Ground,2.0,3.32,12.99,3.28,,Normal
605378,Han Solo - Never Tell Me the Odds,Han Solo Never Tell Me the Odds,https://tcgplayer-cdn.tcgplayer.com/product/605378_200w.jpg,79,23956,https://cpt.tcgcsv.com/B9S6,2025-03-14T04:10:22.677,2,Special,017/262,"Action [Exhaust]: Reveal the top card of your deck, then attack with a unit. If the revealed card and that unit have different odd costs, that unit gets +1/+0 for this attack.
<br>
<strong>Deployed Leader Unit:</strong>
<br>
<strong>Piloting</strong> Attached unit is a leader unit.
<br>
<strong>When deployed as an upgrade:</strong> For each friendly unit or upgrade that has an odd cost, ready a resource.","<strong>Epic Action:</strong> If you control 5 or more resources, choose one:
<br>
• Deploy this leader.
<br>
• Deploy this leader as an upgrade on a friendly Vehicle unit without a Pilot on it.",Cunning;Heroism,Leader,Rebel;Pilot,5,3 (+3),7 (+4),Ground,2.94,4.28,12.99,3.65,,Normal
605381,Chewbacca - Faithful First Mate,Chewbacca Faithful First Mate,https://tcgplayer-cdn.tcgplayer.com/product/605381_200w.jpg,79,23956,https://cpt.tcgcsv.com/F9S6,2025-03-14T04:10:22.677,1,Special,103/262,"This unit can't be defeated or returned to hand by enemy card abilities.
<br><strong>Piloting</strong> [3, Command, Heroism]<em>(You may play this as an upgrade on a friendly Vehicle without a Pilot.)</em>
<br>Attached unit gains: ""This unit can't be defeated or returned to hand by enemy card abilities.""",,Command;Heroism,Unit,Rebel;Wookiee;Pilot,5,5 (+3),6 (+3),Ground,3.39,4.14,14.99,3.96,,Normal
605383,Bossk - Hunt By Instinct,Bossk Hunt By Instinct,https://tcgplayer-cdn.tcgplayer.com/product/605383_200w.jpg,79,23956,https://cpt.tcgcsv.com/H9S6,2025-03-14T04:10:22.677,1,Special,187/262,"<strong>On Attack:</strong> Exhaust the defender and deal 1 damage to it <em>(if it's a unit)</em>.
<br><strong>Piloting</strong> [2, Cunning, Villainy]<em>(You may play this as an upgrade on a friendly Vehicle without a Pilot.)</em>
<br>Attached unit gains: ""<strong>On Attack:</strong> Exhaust the defender and deal 1 damage to it <em>(if it's a unit)</em>.""",,Cunning;Villainy,Unit,Bounty Hunter;Underworld;Pilot,4,4 (+2),4 (+2),Ground,0.45,0.79,4.99,0.67,,Normal
605384,Tandem Assault,Tandem Assault,https://tcgplayer-cdn.tcgplayer.com/product/605384_200w.jpg,79,23956,https://cpt.tcgcsv.com/J9S6,2025-03-14T04:10:22.677,1,Common,124/262,"Attack with a space unit. If you do, attack with a ground unit, and that ground unit gets +2/+0 for this attack.",,Command,Unit,Tactic,1,,,,0.04,0.12,3.99,0.06,,Normal
605385,No Disintegrations,No Disintegrations,https://tcgplayer-cdn.tcgplayer.com/product/605385_200w.jpg,79,23956,https://cpt.tcgcsv.com/K9S6,2025-03-14T04:10:22.677,1,Special,144/262,Deal damage to a non-leader unit equal to 1 less than its remaining HP.,,Aggression;Villainy,Unit,Plan,3,,,,0.9,1.64,7.99,1.56,,Normal
605386,Hunting Aggressor,Hunting Aggressor,https://tcgplayer-cdn.tcgplayer.com/product/605386_200w.jpg,79,23956,https://cpt.tcgcsv.com/L9S6,2025-03-14T04:10:22.677,1,Uncommon,165/262,Indirect damage you deal to opponents is increased by 1.,,Aggression,Unit,Transport;Underworld;Vehicle,4,3,6,Space,0.05,0.15,3.99,0.09,,Normal
605406,Zygerrian Starhopper,Zygerrian Starhopper,https://tcgplayer-cdn.tcgplayer.com/product/605406_200w.jpg,79,23956,https://cpt.tcgcsv.com/8bS6,2025-03-14T04:10:22.677,1,Common,183/262,<strong>When Defeated:</strong> Deal 2 indirect damage to a player. <em>(They assign 2 unpreventable damage among their base and units.)</em>,,Cunning;Villainy,Unit,Fighter;Underworld;Vehicle,2,2,3,Space,0.02,0.15,3.99,0.09,,Normal
605407,Never Tell Me the Odds,Never Tell Me the Odds,https://tcgplayer-cdn.tcgplayer.com/product/605407_200w.jpg,79,23956,https://cpt.tcgcsv.com/9bS6,2025-03-14T04:10:22.677,1,Special,208/262,Discard 3 cards from an opponent's deck and 3 cards from your deck. Deal damage to a unit equal to number of cards with an odd cost discarded this way.,,Cunning;Heroism,Event,Gambit,3,,,,0.95,1.45,7.99,1.28,,Normal
